,Text,Surprise,Angry,Sad,Fear,Happy
151,Some people think of ISO because  I've hearing loop in the communal room.,0.5,0.0,0.0,0.5,0.0
152,"Yeah. I would worry about catching me. I've got new leg, which we only got yesterday. I worried about catching that on these walking behind me. Careful, careful. You know, like you say, if you're in a wheelchair...",0.14,0.0,0.71,0.14,0.0
153,"but what I find very helpful with cooking, particularly in the sense that, you know,.",0.0,0.0,0.0,0.0,1.0
154,"One in the hallway and one in the bathroom we've got Pendants Show. We've got we've got also got wristbands, which you can use. Um, I was given a wristband. Yeah. So many run my flat number. It comes through the intercom I can answer it without getting off the chair. press it once to speak to the person you know you. Plus a second time when the doors open, which I thought it was fantastic. I'd never seen that before.",0.22,0.0,0.11,0.56,0.11
155,"Some people have to pay for that out their own pocket, don't they?",0.0,0.0,0.0,0.0,0.0
156,I don't know. I don't know. I know in Marlborough how some people in the flat say,0.25,0.0,0.75,0.0,0.0
157,"Mm. Yeah. But I found very useful that cooking is my oven packed up and I bought a new one. I bought a Hotpoint It cost me a hundred quid on the internet that was all. And it had this facility, which I find invaluable, and that is when I put something under the grill, I then put the timer on. Yeah, but it switched itself off. So so now where I've previously I forgot about it and it just had burnt bacon. it's not done perfectly because I know exactly how many minutes it was it switched iself off, so often they try to get carried away watching something for example.",0.29,0.29,0.43,0.0,0.0
158,"We've got our alarms going off. Oh yeah, because somebody fell asleep on the sofa and that's something on the hob, wherever, you know. And it's a brilliant idea. Yeah. I mean, if I'm doing chips in a chip pan, I don't like these fryers. It's the horrible thing. I like your standard chip pan. I stand by that cooker from start to finish, then you get often. But I'm fortunate I can do that, you know, again. So it's hard for me to say what barriers may come in front of me that 20 years.",0.17,0.22,0.28,0.22,0.11
159,I might be able to draw a line at low,0.0,0.25,0.25,0.5,0.0
160,"I haven't got the manual for it and that was given to me. If you're two years old and it was given to me, and so I would give it to you from the air fryer to a proper conventional cooker, which I've always liked. So I don't know whether it was this guy. I know it's got a timer on running for the oven, whether it's for anything else on that, I don't know. I can probably download the manual for it. Oh, I thought you was saying that.",0.15,0.0,0.23,0.54,0.08
161,"Can I think something? It's not my it's been a relative inclusion actually. Having come to me, ask me, I have no idea that, you know, when you're saying you need to say your GP service? Yeah, go username, password. Yeah. And sometime in which is going come into a password not recognised and it and then you should turn out. Her son checked her computer it wasn't her computer, it was a GP sensor, it was. There is a code and she couldn't get through to a doctor and she needed medication urgently nebuliser, you know, um, I've never used mine since it went online. I've never used it. Not that I don't want to. I don't even know what the website address is, so I have to ring them open. Ask them where you can get through. Um, that's the problem. You know, technical stuff, folks, and stuff like that. If the system's going down. Yeah. To Ringo, oh, you'd have to try again tomorrow. Love to try again tomorrow. An actual person, you could be dead by tomorrow. You know, I mean, not everybody knows it when you're feeling unwell, it's life threatening. Yeah. And you're ringing the GP because you don't want to bother your neighbours.",0.24,0.19,0.05,0.48,0.05
162,"The other thing is, the older we get, I think safety is very, very important, you know? Yeah, I when I moved into my place, I bought myself from the re-use centre in Union Street, a tumble dryer. I paid ten quid for it. Yeah. And I got it home and it worked. I look on the internet and it was suspect to fire. Yeah. So I ran the Whirlpool and I said, Look, I've got a tumble dryer of yours and you say it's one of the other risks. So they said that's all right give me the serial number, and within two weeks they did bring me a new one.",0.29,0.0,0.18,0.47,0.06
163,"Oh, that's fair enough! laughs",0.0,0.0,0.0,0.0,0.0
164,"That's right. Are a lot of time. You've got to go on the internet to find the phone number so. Yeah, it does happen. Yeah, I got news. I bought a scooter that can run from better life. Yeah. Lloyd's chemist used to sell,",0.2,0.0,0.2,0.6,0.0
165,"Get to the airport, put my case in, next stop. You know, the bark.",0.0,0.0,0.5,0.5,0.0
166,"Gardening, yes.",0.0,0.0,1.0,0.0,0.0
167,"She was fine. she was all right. I mean, the first plant landed upside down",0.25,0.0,0.0,0.5,0.25
168,"Well, sometimes you get, you know, a bit negative. Yeah, I like to say something serene. You know? Yeah, like I said, that is it. Right? Well, yeah. You know that all these, you know?",0.4,0.0,0.2,0.2,0.2
169,"Yeah, just get him off the chair and just sit outside in the fresh air saying, try it now, but I've tried to say, man instead of me doing it today, you do it. You know? But he's afraid of falling over. The guy fell over several times and of course..",0.4,0.2,0.0,0.4,0.0
170,Got in touch with the right people? Yes. To one another. Yeah.,0.0,0.0,0.67,0.33,0.0
171,"He's been so independent because, I mean, he was he was in the Marines, but he's been so independent and helping other people before he needed himself and he doesn't like it.",0.25,0.25,0.0,0.0,0.5
172,It works both for and.,0.0,0.0,0.0,1.0,0.0
173,We never know. Laughs.,0.0,0.0,0.0,0.0,0.0
174,"And this is often very, very commonly when we call our GP. It's so difficult to talk to your GP, I mean, you just end up in these terrible menus.",0.0,0.0,0.0,1.0,0.0
175,"The only danger I can see is crime. Crime is a lot, isn't it?",0.0,0.0,0.75,0.25,0.0
176,They don't have taxis today from community aims to begin,0.0,0.0,1.0,0.0,0.0
177,"No, that wasn't the taxi, that that was a human error.",0.0,0.0,1.0,0.0,0.0
178,That's a difficult one.,0.0,0.0,0.0,0.0,0.0
179,"Technology, stairs and trip hazards",0.0,0.0,0.0,1.0,0.0
180,You've got some undesirable people in our block.,0.0,0.0,0.0,0.0,0.0
181,"The deliveries, delivery services, as a negative, because they don't bring it all the way up the stairs.",0.0,0.0,1.0,0.0,0.0
182,I live with a partner on one cat.,0.0,0.0,0.0,1.0,0.0
183,"Yeah. I don't think I'd mind because if I feel that I need help with somebody around in case something happens to be, I feel bad for somebody with. You know, if that was something someone was knocking every day or checking, if I'm OK.",0.4,0.0,0.4,0.0,0.2
184,Are they?,0.0,0.0,0.0,0.0,0.0
185,I'm shaving less often.,0.0,0.0,0.0,0.0,0.0
186,Tapioca!,0.0,0.0,0.0,0.0,0.0
187,"I like gardening, so I'd like green space to look after when I'm older. Feed the birds and stuff like that.",0.0,1.0,0.0,0.0,0.0
188,"Walking, I like countryside walking.",0.0,0.0,0.0,0.0,0.0
189,It's not that flat in Plymouth by the way.,0.0,0.0,1.0,0.0,0.0
190,I guess it's the mental distress that it causes. Isn't it ? when you can't do what you were used to  maybe ??? with life? Yeah. You know.,0.25,0.0,0.5,0.25,0.0
191,"And I think it'd be quite nice. I mean, people do things for you.",0.67,0.0,0.0,0.0,0.33
192,"yeah, I won't mind.",0.0,1.0,0.0,0.0,0.0
193,I just give them more jobs.,0.0,0.0,0.0,1.0,0.0
194,"Yeah, I've seen it right. I enjoy a good book or good films. I just noticed reading that I really enjoy a good book or watching a good film.",0.2,0.0,0.0,0.2,0.6
195,"Yeah, I'll make rude comment",0.5,0.0,0.5,0.0,0.0
196,"Yes, yes. You know, regarding the car accident, you had to.",0.0,0.0,0.67,0.0,0.33
197,A few of us mentioned walking.,0.0,0.0,0.0,0.0,0.0
198,"Cooking is fun, isn't it? because you can look forward to eating after that.",0.0,0.0,0.0,0.5,0.5
199,"I think I have it for granted in a way, but it's taken away. Yeah. See if you are alone for the week.",0.5,0.25,0.25,0.0,0.0
200,"Well, isolation was used in prisons as a punishment, wasn't it?",0.0,0.0,1.0,0.0,0.0
201,Oh yeah. So you'd be locked on your own.,0.0,0.0,0.0,0.0,0.0
202,"And I think there was a study made by a bit of a cruel statistically, but I think they did it with cats and the cats would be happier if you had any kind of contact, even if it was negative contact if it was just hit. Kind of thing, rather than stroke, it would be happier just because of the contact. So they were saying, well, that could be sort of people as well. Yeah. So just bad, any contact was better than nothing at all which is weird.",0.29,0.06,0.35,0.18,0.12
203,Very important! Laughs..,0.0,0.0,0.0,0.0,1.0
204,"Well, that's where you got all the guts??? Said, which is great things you wouldn't say in the office.",0.5,0.0,0.17,0.17,0.17
205,"And you get to learn about all the teams because suddenly we're going to talk of the other teams in the organisation unless there's a meeting or something or something formal. So, yeah, so you get to know what's happening in their little neck of the woods.",0.0,0.0,0.0,1.0,0.0
206,"Yeah, yeah. There's a can opener??? Which is really good. Yeah.",0.5,0.0,0.0,0.0,0.5
207,You could put the light somewhere else?,0.0,0.0,1.0,0.0,0.0
208,A lack of money could be a barrier.,0.0,0.0,0.0,0.0,0.0
209,"You've got to qualify, I think. Yeah. And then social services would help you.",0.5,0.0,0.0,0.5,0.0
210,"And it's knowing that that help is out there as well, because you may not know that you could get help. Yeah. So it'd be nice if somebody came to see you and explained, Oh yeah, you could have this, you could have that because I'm sure a lot of think lots of older people don't claim certain things today and that they're entitled to.",0.36,0.07,0.21,0.29,0.07
211,"Yeah, yeah, yeah. Well, she's paid all her life social insurance. That's what it's for, isn't it?",0.0,0.0,0.0,1.0,0.0
212,Especially with clothes because you want to feel them and try them on.,0.0,0.0,0.0,0.0,0.0
213,Look for the bargains.,0.0,0.0,0.0,0.0,0.0
214,They don't always give you the very thing either.,0.33,0.0,0.33,0.33,0.0
215,"It's the same colour..Laughs.  Yeah, yeah.",0.0,0.0,0.0,0.0,0.0
216,"Yes. Knowledge. Would it be big for me? Knowledge knowing? Yeah, yeah. Information?",0.0,0.0,0.5,0.5,0.0
217,Yeah. So it's something you haven't heard about,0.0,0.0,0.0,0.0,0.0
218,something like 65.,0.0,0.0,0.0,0.0,0.0
219,Transport.,0.0,1.0,0.0,0.0,0.0
220,"Oh, I see.",0.0,0.0,0.0,0.0,0.0
221,"Maybe the mobility? Yeah. Mhm. Yeah. Like, moving yourself and also transporting things. So it's more like for mobility. Yeah. Yeah.",0.5,0.5,0.0,0.0,0.0
222,"Yeah, something like this. I loved the whole knowledge that you guys talked about because this is something that's not exactly physical. It doesn't fit anywhere, but it's just amazing. And I think that that's something we need to think about.",0.5,0.0,0.17,0.17,0.17
223,An information centre.,0.0,0.0,0.0,0.0,0.0
224,"Because it's always something you learn like, Oh, I didn't know. But even now in my job and I should know what's out there, mostly. But that's always something I think I've got to know about that.",0.2,0.0,0.6,0.2,0.0
225,"They are company, aren't they?",0.0,0.0,0.0,0.0,0.0
226,something to worry about.,0.0,0.0,1.0,0.0,0.0
227,When did she die?,0.0,0.0,0.0,0.0,0.0
228,Oh yeah. Are you going to get another one?,0.0,0.0,0.0,1.0,0.0
229,Just take on home.,0.0,0.0,1.0,0.0,0.0
230,"Yeah, it comes with adaptations.",1.0,0.0,0.0,0.0,0.0
231,"It's a very broad categories, so...",0.0,0.0,0.0,1.0,0.0
232,"no. It's nice down there, isn't it?",0.0,0.0,0.0,0.0,1.0
233,Is it a shared table  or something like that? I don't know.,0.0,0.0,1.0,0.0,0.0
234,"I was going to say often it's we compared to China you know, where the culture is different, where the elderly are more respected. I mean, we don't live in the same house. Yeah, there is more social connections. Well, in Britain, we've lost a lot of that in the last century, I think.",0.29,0.0,0.29,0.29,0.14
235,"It's kind of interesting stuff, you know, you just got to try  once you're older, you know, like, you know, well, maybe somebody younger. Yeah. So maybe not so valued.",0.0,0.33,0.0,0.0,0.67
236,You need to put your foot down.,0.0,0.0,1.0,0.0,0.0
237,"Because it's a big social thing with Facebook and stuff now. Yeah, yeah.",0.33,0.33,0.0,0.33,0.0
238,"Unless she missed it, you know, because you are told so many things anyway and you can't remember everything.",0.17,0.0,0.67,0.17,0.0
239,"I'm thinking about social groups as well as clubs, and there is like something holding people back like all that's not for me. Oh, that's not my kind of thing. Well, in fact, if you were to go along with it, make new friends and probably have a laugh. Yeah, and it would be generally, good, good for them. So I think people should be encouraged to do more.",0.33,0.0,0.08,0.25,0.33
240,"It is creating the family, I suppose, isn't it?",0.5,0.0,0.0,0.5,0.0
241,Like the TV is a big social friend for people as well.,0.0,0.0,0.0,0.5,0.5
242,"Whatever people can access, I guess. Yeah, but it's like a friend in the corner, isn't it? yeah. Keep it coming.",0.67,0.0,0.0,0.0,0.33
243,What was that Gogglebox?,0.0,0.0,0.0,0.0,0.0
244,"When I watch someone, I feel as if I'm there with them, in the chats as it were, so it's like, Oh, they're my friends. So it's kind of like a social contact in a way. Yeah, it's weird.",0.25,0.0,0.0,0.25,0.5
245,I prefer face to face.,0.0,0.0,0.0,0.0,1.0
246,"Hmm. I don't know, the interaction isn't as fluid. Yeah, no.",0.0,0.0,1.0,0.0,0.0
247,I don't mind it.,0.0,1.0,0.0,0.0,0.0
248,"Well, I got some Facebook. I've never would have otherwise.",0.0,0.0,0.0,1.0,0.0
249,"Because I'm a bit phobic of technology,",0.0,0.0,0.0,1.0,0.0
250,What's the topic?,0.0,0.0,0.0,0.0,0.0
251,Have you got a bar?,0.0,0.0,0.0,0.0,0.0
252,"Family is a support, yeah",1.0,0.0,0.0,0.0,0.0
253,Social Connections.,0.0,0.0,0.0,1.0,0.0
254,"Yeah, OK. I think technology, TV and social media are the big one.",0.5,0.0,0.0,0.5,0.0
255,because we I think people watch tons of TV.,1.0,0.0,0.0,0.0,0.0
256,"What about mental health in terms of if you're going physically going worse, you feel bad in your head. Yes. And then you don't feel like going out to meeting people.",0.0,0.0,0.5,0.5,0.0
257,When we can't be bothered to go to the church. You know what you're feeling?,1.0,0.0,0.0,0.0,0.0
258,Drugs.,0.0,0.0,0.0,0.0,0.0
